lead_id,company,domain,decision_maker_name,decision_maker_title,signal_family,signal_summary,observed_date,score,tier,top_reasons,public_channel
piramal-2026-04,Piramal Realty,piramalrealty.com,Anand Piramal,Founder,funding-change,Warburg Pincus and Goldman Sachs investment; new tower launches,2026-03-21,80.0,A,funding-change signal on 2026-03-21 | decision-maker + public channel + recent activity,https://in.linkedin.com/in/anand-piramal-ed-piramalgroup
housing-2026-04,Housing.com (REA India),housing.com,Dhruv Agarwala,Co-founder,funding-change,CEO transition; REA India restructuring,2026-03-26,80.0,A,funding-change signal on 2026-03-26 | decision-maker + public channel + recent activity,https://www.linkedin.com/in/dhruv-agarwala-ba724/
bhive-2026-04,BHIVE Workspace,bhiveworkspace.com,Shesh Rao Paplikar,Founder and CEO,hiring,Managed-office expansion; enterprise sales push,2026-03-29,80.0,A,hiring signal on 2026-03-29 | decision-maker + public channel + recent activity,https://www.linkedin.com/in/spaplikar/
brigade-2026-04,Brigade Enterprises,brigadegroup.com,Pavitra Shankar,Managing Director,funding-change,Industrial park launch BLR; REIT momentum,2026-03-23,80.0,A,funding-change signal on 2026-03-23 | decision-maker + public channel + recent activity,https://www.linkedin.com/in/pavitrashankar/
kalpataru-2026-04,Kalpataru,kalpataru.com,Parag Munot,Managing Director,funding-change,DRHP refiling; ₹5.7k Cr raise plan,2026-04-05,80.0,A,funding-change signal on 2026-04-05 | decision-maker + public channel + recent activity,https://www.linkedin.com/in/parag-munot-6b49a5b/
spjoyville-2026-04,Shapoorji Pallonji Real Estate,shapoorjirealestate.com,Abhishek Badkul,Head Sales and Marketing Joyville,hiring,Hadapsar and Howrah Joyville active launches; heavy portal spend,2026-04-07,77.0,B,hiring signal on 2026-04-07 | title not in persona list | decision-maker + public channel + recent activity,https://www.linkedin.com/in/abadkul1980/
anarock-2026-04,ANAROCK,anarock.com,Anuj Puri,Chairman,hiring,Primary-sales expansion; land-services vertical launch,2026-04-03,77.0,B,hiring signal on 2026-04-03 | title not in persona list | decision-maker + public channel + recent activity,https://in.linkedin.com/in/theanujpuri
oberoi-2026-04,Oberoi Realty,oberoirealty.com,Vikas Oberoi,Chairman and Managing Director,funding-change,Thane and Gurgaon entry; ₹6k Cr+ launch pipeline,2026-03-18,70.0,B,funding-change signal on 2026-03-18 | decision-maker + public channel + recent activity,https://in.linkedin.com/in/vikas-oberoi-a4a720104
puravankara-2026-04,Puravankara,puravankara.com,Ashish Puravankara,Managing Director,funding-change,Provident relaunch; Goa and Mangalore entry,2026-03-19,70.0,B,funding-change signal on 2026-03-19 | decision-maker + public channel + recent activity,https://www.linkedin.com/in/ashish-puravankara-3234a4a7/
hiranandani-2026-04,Hiranandani Group,hiranandani.com,Niranjan Hiranandani,Founder and Chairman,funding-change,Chennai IT-park launch; Yotta Data Centre expansion,2026-03-15,70.0,B,funding-change signal on 2026-03-15 | decision-maker + public channel + recent activity,https://in.linkedin.com/in/dr-niranjan-hiranandani
